0,5.0266,0,0,0,0,0,0,0,0,0
0.1,4.8325,0,0,0,0,0,0,0,0,0
0.2,4.651,0,0,0,0,0,0,0,0,0
0.3,4.5784,0,0,0,0,0,0,0,0,0
0.4,4.6019,0,0,0,0,0,0,0,0,0
0.5,4.724,0,0,0,0,0,0,0,0,0
0.6,4.9741,0,0,0,0,0,0,0,0,0
0.7,5.3484,0,0,0,0,0,0,0,0,0
0.8,5.9381,0,0,0,0,0,0,0,0,0
0.9,6.8575,0,0,0,0,0,0,0,0,0
1,8.4196,0,0,0,0,0,0,0,0,0
1,1.0768,1.1344,1.1868,1.2433,1.311,1.3808,1.4696,1.5828,1.7497,2.0134
0,0.0548,0.1208,0.2066,0.3051,0.4405,0.6062,0.8025,1.0707,1.4408,2.03
0,0.0937,0.1669,0.2357,0.3028,0.3773,0.4506,0.5365,0.6403,0.7853,1.0134
2.0133,1.77,1.5434,1.3664,1.2304,1.1024,1.0132,0.9646,0.9375,0.9465,1
0,0.0379,0.0883,0.1577,0.2456,0.3742,0.5364,0.7356,1.0132,1.4052,2.03
0,0.0289,0.0588,0.0852,0.1048,0.1231,0.139,0.1284,0.112,0.0722,0
1.0133,0.8081,0.6182,0.4735,0.3583,0.2471,0.1641,0.1055,0.0585,0.0224,0
1,0.9623,0.9202,0.8665,0.8116,0.7484,0.6838,0.6057,0.5231,0.4354,0.3328
